0.040000	0.300000	-0.200000
0.040500	0.305000	-0.196500
0.041000	0.310000	-0.193000
0.041500	0.315000	-0.189500
0.042000	0.320000	-0.186000
0.042500	0.325000	-0.182500
0.043000	0.330000	-0.179000
0.043500	0.335000	-0.175500
0.044000	0.340000	-0.172000
0.044500	0.345000	-0.168500
0.045000	0.350000	-0.165000
0.045500	0.355000	-0.161500
0.046000	0.360000	-0.158000
0.046500	0.365000	-0.154500
0.047000	0.370000	-0.151000
0.047500	0.375000	-0.147500
0.048000	0.380000	-0.144000
0.048500	0.385000	-0.140500
0.049000	0.390000	-0.137000
0.049500	0.395000	-0.133500
0.050000	0.400000	-0.130000
0.050500	0.405000	-0.126500
0.051000	0.410000	-0.123000
0.051500	0.415000	-0.119500
0.052000	0.420000	-0.116000
0.052500	0.425000	-0.112500
0.053000	0.430000	-0.109000
0.053500	0.435000	-0.105500
0.054000	0.440000	-0.102000
0.054500	0.445000	-0.098500
0.055000	0.450000	-0.095000
0.055500	0.455000	-0.091500
0.056000	0.460000	-0.088000
0.056500	0.465000	-0.084500
0.057000	0.470000	-0.081000
0.057500	0.475000	-0.077500
0.058000	0.480000	-0.074000
0.058500	0.485000	-0.070500
0.059000	0.490000	-0.067000
0.059500	0.495000	-0.063500
